"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MMP27",2.94951141758849,5.04618321083696,1.13959122794975,4.4280642804838,9.50825674376767e-06,5.77839390925586e-05
"LOC102724995",2.98522818648527,4.74806461698703,1.19157759845812,3.9846877141119,6.75689262088074e-05,0.000315016407184527
"MAFA-AS1",6.28800167891267,4.68349153555255,0.970293311363081,4.82688222283334,1.38687083014913e-06,1.08560258724067e-05
"WFDC1",75.6624037007572,4.64914425859084,0.675645024582292,6.88104565184227,5.94148052767542e-12,2.75136252127738e-10
"PCSK9",176.760862220065,4.61247417324834,0.765759651711429,6.02339671846085,1.70794113648511e-09,3.41659169815672e-08
"HIF3A",2.20400697513827,4.60462831753424,1.42441452860846,3.2326462732956,0.00122649327314601,0.00387711952968242
"LINGO1",2.60605464082771,4.52504867629641,1.20435630630125,3.75723417781028,0.00017180170966803,0.0007074792935111
"CCL3",53.3226069655109,4.50458382416483,0.952065458610074,4.73138037246,2.22998218920525e-06,1.64717702810008e-05
"CAND1.11",2.15085787342243,4.49347087885219,1.17260295173936,3.83204807065074,0.000127080899941679,0.000544019212550336
"MIR5690",3.22742265170228,4.4569891314371,1.04275907478971,4.27422713375659,1.9180143600997e-05,0.000106449520694211
"TULP1",3.23511720985863,4.44038212302249,1.06403232297159,4.17316469355137,3.00397631184665e-05,0.000156740519153342
"CD177",37209.6551719673,4.39123831099492,0.594494964131731,7.38650211681504,1.50741750648727e-13,1.24630432811033e-11
"GPR42",9.26298059444659,4.39004525282575,0.939756523996407,4.67147089775621,2.99050474427076e-06,2.11176991912141e-05
"NR2E1",19.6575449231495,4.35017701861261,0.716664130630975,6.0700359243354,1.27881640336992e-09,2.65178893374792e-08
"LOC102467080",2.34202770126589,4.3156939287714,1.15598423128233,3.73335017207288,0.000188949611386054,0.000769234182798544
"OLAH",3133.93708554383,4.29704493444499,0.607872635080957,7.06898894021231,1.56066584945568e-12,9.05562256744404e-11
"PRG3",4.85711170857051,4.27835981659853,1.19740626854949,3.5730227316926,0.000352884114560723,0.00131947973270531
"CH25H",5.61601157914814,4.26414416714787,0.996284158742951,4.28004814663329,1.86852886431302e-05,0.000104032774688226
"ADAMTS2",844.541906845297,4.24451044172389,0.544335326379627,7.79760238960443,6.30944396994751e-15,8.42076020853564e-13
"MIR4451",2.21193155629261,4.24078159988698,1.04544377476376,4.05644158227951,4.98260172907643e-05,0.000242080301914069
"KCNMA1",412.467410145566,4.23531268683297,0.747009371046589,5.66969150721514,1.43054867117968e-08,2.09682580137977e-07
"CLRN1-AS1",28.070677649487,4.2016511285686,0.607494571725057,6.91635995468648,4.63396070128666e-12,2.26920356035567e-10
"MAOA",369.570870490288,4.16105617458165,0.739963700101288,5.62332473067541,1.87316805487405e-08,2.62625250430085e-07
"FOXC1",175.567337208677,4.14755377516874,0.599197719697293,6.92184505852932,4.45798695750013e-12,2.2133675450846e-10
"FOLR1",2.06069411818881,4.14027313120582,0.864122814052799,4.79130172687796,1.65702717864479e-06,1.26570069664604e-05
"ZDHHC19",2397.79811984746,4.124299971232,0.688440568562526,5.99078578394007,2.08829558806548e-09,4.07131416788424e-08
"MLNR",8.35961592241647,4.10613845487477,0.848499515049192,4.83929381460721,1.30301293254951e-06,1.02873939068171e-05
"DEFA8P",15.8873001929951,4.10535228222117,0.72941041391101,5.62831597126337,1.81977512225624e-08,2.55697651022204e-07
"LOC646652",35.5417228391907,4.10385650489963,0.954929653313207,4.29754850596686,1.72697477051684e-05,9.69360197530199e-05
"AOC1",532.059143094295,4.07984800175081,0.788691290984645,5.17293400901804,2.30446419234486e-07,2.29283589840076e-06
"APOD",3.71724062352774,4.0751201995285,0.954535450476737,4.26921828570454,1.96159228213041e-05,0.0001083685509692
"SPSB4",6.53682919359876,4.07091111161156,0.854477600678345,4.7642104466867,1.89594553177298e-06,1.42280852061062e-05
"CAPN13",68.7618816407684,4.04055228816818,0.56136723087329,7.19769887865115,6.12371939604036e-13,4.06783898087315e-11
"EPB41L4B",63.0925164619881,4.0358261672045,0.825970441033463,4.88616295052258,1.02820109808481e-06,8.37516530803625e-06
"ITGA7",1919.93994043405,4.02815628275973,0.617270035523987,6.52576028470314,6.76574537254643e-11,2.18683420900561e-09
"TMEM119",1318.9921480795,4.02555893414434,0.484640208705905,8.30628342805781,9.87462072725466e-17,2.47045056740044e-14
"AMPH",211.341805168407,4.01834263340648,0.648826494196994,6.19324683770766,5.89373194929548e-10,1.38122691327528e-08
"KLF14",49.7147514361112,4.00588876724353,0.727514286876242,5.50626817851753,3.66520057706903e-08,4.67592211368595e-07
"SLC51A",186.499498464313,3.99869858017734,0.648073670861465,6.17012966266936,6.8234013846234e-10,1.57232062527973e-08
"SPATC1",302.222489875025,3.99459823579471,0.586265335070631,6.81363539141105,9.51627118796245e-12,4.03639949981729e-10
"C2",1.76608322102196,3.97866192222051,1.30204026989419,3.05571341702345,0.00224525748872824,0.00657235074652194
"DEFA4",885.932522273844,3.97205071198711,0.591850884038027,6.71123558165016,1.92983245344068e-11,7.45015879420465e-10
"LINC01267",5.64339353722317,3.97135919510423,0.776653331054027,5.11342581858826,3.16368029291712e-07,3.01112337760649e-06
"C1QC",211.92468621199,3.96402460154129,0.402890789927122,9.83895561935862,7.65008252342105e-23,9.21069935819894e-20
"HBE1",30.2488676592609,3.95641625570006,0.602341398166012,6.56839504597628,5.0860461242384e-11,1.70099987043973e-09
"DAAM2-AS1",10.9928899960765,3.9500077768836,1.11277734615969,3.54968385231375,0.000385694039024123,0.00142501150129664
"HAMP",17.5087405265732,3.93351571345423,0.949789557128534,4.14146026762633,3.45101659986443e-05,0.000177470325092868
"H2AC21",8.09938040307115,3.92689800619095,0.782169583942662,5.02051995731761,5.15317964699602e-07,4.58314186148344e-06
"RAB3IL1",97.1955758580667,3.90002536829727,0.679001074939395,5.74376906346631,9.25920473913088e-09,1.44428599266897e-07
"C8B",2.91760747930676,3.89448298609678,1.19619510075569,3.25572557824092,0.00113103010792146,0.00361149743063135
"TIMP4",11.1746416223524,3.89222219157083,0.766830073357003,5.07572971744782,3.86011680220746e-07,3.58195038910041e-06
"CEACAM6",709.464938421693,3.86735178565144,0.613987539808648,6.29874636683461,3.00062510288712e-10,7.81135702459696e-09
"ADGRG2",5.94066438070028,3.8661080765744,0.878259270810598,4.40201225886991,1.07251495413767e-05,6.4045034335115e-05
"LORICRIN",2.16948560549728,3.86012084674722,1.28451481246813,3.00511976139084,0.00265476297129828,0.00757865513860078
"ANKRD34B",843.825257497585,3.84600632107188,0.606125925300886,6.34522656189419,2.2209834789614e-10,6.06714920098006e-09
"FAM20A",761.75187963967,3.84416606912718,0.651044792543108,5.90461073209897,3.53480384157217e-09,6.33255733329205e-08
"SEZ6",8.21177615429934,3.81787691102245,0.64703952953065,5.90053116815269,3.62333159907832e-09,6.45697131587833e-08
"SCN5A",114.261788587236,3.81752261980231,0.775410351702827,4.92322885736424,8.51277985143982e-07,7.1580179423019e-06
"SLC9A4",5.0084194274783,3.80669329927237,0.779030402034254,4.88645024550016,1.02670257890874e-06,8.3664968189924e-06
"ARG1",5682.34319518772,3.79606190162383,0.472567393419892,8.03284770485827,9.52358571456055e-16,1.6678395927754e-13
"COL17A1",226.430876619827,3.78975457369082,0.527470343367177,7.18477279594227,6.73190410942951e-13,4.42605463358533e-11
"MINDY4B",15.1391971307583,3.7896237891737,0.627372615864729,6.04046732889407,1.53668498452723e-09,3.10952726280805e-08
"TTTY15",110.801482126982,3.78564568812659,0.738018617081484,5.12947180532794,2.90556283480112e-07,2.79165897504283e-06
"GPR52",1.6333465164305,3.7798902981363,0.930801223734561,4.06089957958007,4.88839956899986e-05,0.000238768076311393
"CYGB",37.7930686070095,3.77662136266609,0.72612908578343,5.20103303476881,1.98183868998712e-07,2.00200002747309e-06
